workId,idx,word,sourceReference,properNounState,tokenType,sentenceIdx,wordIdx,enclitic,expansion
be7c553f-477b-4af5-aab5-bc59cd8bf23c,0,Liber,1,2,1,0,0,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,1,Primus,1,2,1,0,1,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,2,PROLOGUS,1.prologus,0,1,1,0,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,3,Aesopus,1.prologus.1,1,1,1,1,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,4,auctor,1.prologus.1,0,1,1,2,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,5,quam,1.prologus.1,0,1,1,3,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,6,materiam,1.prologus.1,0,1,1,4,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,7,repperit,1.prologus.1,0,1,1,5,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,8,",",1.prologus.1,,4,1,,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,9,Hanc,1.prologus.2,0,1,1,6,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,10,ego,1.prologus.2,0,1,1,7,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,11,polivi,1.prologus.2,0,1,1,8,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,12,versibus,1.prologus.2,0,1,1,9,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,13,senariis,1.prologus.2,0,1,1,10,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,14,.,1.prologus.2,,4,1,,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,15,Duplex,1.prologus.3,0,1,2,0,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,16,libelli,1.prologus.3,0,1,2,1,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,17,dos,1.prologus.3,0,1,2,2,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,18,est,1.prologus.3,0,1,2,3,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,19,:,1.prologus.3,,4,2,,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,20,quod,1.prologus.3,0,1,2,4,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,21,risum,1.prologus.3,0,1,2,5,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,22,movet,1.prologus.3,0,1,2,6,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,23,Et,1.prologus.4,0,1,2,7,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,24,quod,1.prologus.4,0,1,2,8,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,25,prudenti,1.prologus.4,0,1,2,9,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,26,vitam,1.prologus.4,0,1,2,10,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,27,consilio,1.prologus.4,0,1,2,11,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,28,monet,1.prologus.4,0,1,2,12,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,29,.,1.prologus.4,,4,2,,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,30,Calumniari,1.prologus.5,0,1,3,0,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,31,si,1.prologus.5,0,1,3,1,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,32,quis,1.prologus.5,0,1,3,2,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,33,autem,1.prologus.5,0,1,3,3,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,34,voluerit,1.prologus.5,0,1,3,4,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,35,",",1.prologus.5,,4,3,,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,36,Quod,1.prologus.6,0,1,3,5,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,37,arbores,1.prologus.6,0,1,3,6,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,38,loquantur,1.prologus.6,0,1,3,7,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,39,",",1.prologus.6,,4,3,,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,40,non,1.prologus.6,0,1,3,8,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,41,tantum,1.prologus.6,0,1,3,9,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,42,ferae,1.prologus.6,0,1,3,10,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,43,",",1.prologus.6,,4,3,,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,44,Fictis,1.prologus.7,0,1,3,11,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,45,iocari,1.prologus.7,0,1,3,12,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,46,nos,1.prologus.7,0,1,3,13,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,47,meminerit,1.prologus.7,0,1,3,14,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,48,fabulis,1.prologus.7,0,1,3,15,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,49,.,1.prologus.7,,4,3,,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,50,Lupus,1.1,2,1,4,0,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,51,et,1.1,0,1,4,1,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,52,agnus,1.1,0,1,4,2,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,53,.,1.1,,4,4,,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,54,Ad,1.1.1,0,1,5,0,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,55,rivum,1.1.1,0,1,5,1,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,56,eundem,1.1.1,0,1,5,2,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,57,lupus,1.1.1,0,1,5,3,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,58,et,1.1.1,0,1,5,4,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,59,agnus,1.1.1,0,1,5,5,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,60,venerant,1.1.1,0,1,5,6,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,61,Siti,1.1.2,0,1,5,7,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,62,compulsi,1.1.2,0,1,5,8,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,63,;,1.1.2,,4,5,,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,64,superior,1.1.2,0,1,5,9,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,65,stabat,1.1.2,0,1,5,10,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,66,lupus,1.1.2,0,1,5,11,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,67,Longeque,1.1.3,2,1,5,12,que,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,68,inferior,1.1.3,0,1,5,13,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,69,agnus,1.1.3,0,1,5,14,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,70,.,1.1.3,,4,5,,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,71,Tunc,1.1.3,0,1,6,0,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,72,fauce,1.1.3,0,1,6,1,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,73,improba,1.1.3,0,1,6,2,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,74,Latro,1.1.4,2,1,6,3,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,75,incitatus,1.1.4,0,1,6,4,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,76,iurgii,1.1.4,0,1,6,5,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,77,causam,1.1.4,0,1,6,6,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,78,intulit,1.1.4,0,1,6,7,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,79,.,1.1.4,,4,6,,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,80,Cur,1.1.5,0,1,7,0,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,81,",",1.1.5,,4,7,,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,82,inquit,1.1.5,0,1,7,1,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,83,",",1.1.5,,4,7,,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,84,turbulentam,1.1.5,0,1,7,2,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,85,fecisti,1.1.5,0,1,7,3,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,86,mihi,1.1.5,0,1,7,4,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,87,Aquam,1.1.6,2,1,7,5,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,88,bibenti,1.1.6,0,1,7,6,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,89,?,1.1.6,,4,7,,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,90,Laniger,1.1.6,0,1,8,0,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,91,contra,1.1.6,0,1,8,1,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,92,timens,1.1.6,0,1,8,2,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,93,:,1.1.6,,4,8,,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,94,Qui,1.1.7,0,1,8,3,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,95,possum,1.1.7,0,1,8,4,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,96,",",1.1.7,,4,8,,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,97,quaeso,1.1.7,0,1,8,5,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,98,",",1.1.7,,4,8,,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,99,facere,1.1.7,0,1,8,6,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,100,",",1.1.7,,4,8,,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,101,quod,1.1.7,0,1,8,7,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,102,quereris,1.1.7,0,1,8,8,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,103,",",1.1.7,,4,8,,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,104,lupe,1.1.7,0,1,8,9,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,105,?,1.1.7,,4,8,,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,106,A,1.1.8,0,1,9,0,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,107,te,1.1.8,0,1,9,1,,
be7c553f-477b-4af5-aab5-bc59cd8bf23c,108,decurrit,1.1.8,0,1,9,2,,
